name,stars,language,owner,url,created_at,age_years,license
ML-For-Beginners,67362,HTML,microsoft,https://github.com/microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,3.22,MIT License
reveal.js,67054,JavaScript,hakimel,https://github.com/hakimel/reveal.js,2011-06-07T18:54:22Z,12.97,MIT License
supabase,66994,TypeScript,supabase,https://github.com/supabase/supabase,2019-10-12T05:56:49Z,4.62,Apache License 2.0
flask,66605,Python,pallets,https://github.com/pallets/flask,2010-04-06T11:11:59Z,14.14,"BSD 3-Clause ""New"" or ""Revised"" License"
swift,66124,C++,apple,https://github.com/apple/swift,2015-10-23T21:15:07Z,8.59,Apache License 2.0
stable-diffusion,65847,Jupyter Notebook,CompVis,https://github.com/CompVis/stable-diffusion,2022-08-10T14:36:44Z,1.79,Other
code-server,65788,TypeScript,coder,https://github.com/coder/code-server,2019-02-27T16:50:41Z,5.24,MIT License
github-readme-stats,65431,JavaScript,anuraghazra,https://github.com/anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,3.87,MIT License
gpt4all,65273,C++,nomic-ai,https://github.com/nomic-ai/gpt4all,2023-03-27T18:49:32Z,1.16,MIT License
cs-video-courses,65222,,Developer-Y,https://github.com/Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,7.59,No License
vite,65219,TypeScript,vitejs,https://github.com/vitejs/vite,2020-04-21T05:03:57Z,4.09,MIT License
redis,65116,C,redis,https://github.com/redis/redis,2009-03-21T22:32:25Z,15.18,Other
rustdesk,65017,Rust,rustdesk,https://github.com/rustdesk/rustdesk,2020-09-28T15:36:08Z,3.65,GNU Affero General Public License v3.0
funNLP,64811,Python,fighting41love,https://github.com/fighting41love/funNLP,2018-08-21T11:20:39Z,5.76,No License
nest,64806,TypeScript,nestjs,https://github.com/nestjs/nest,2017-02-04T20:12:52Z,7.3,MIT License
awesome-for-beginners,64552,,MunGell,https://github.com/MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,8.58,No License
webpack,64226,JavaScript,webpack,https://github.com/webpack/webpack,2012-03-10T10:08:14Z,12.21,MIT License
devops-exercises,64018,Python,bregman-arie,https://github.com/bregman-arie/devops-exercises,2019-10-03T17:31:21Z,4.64,Other
express,63986,JavaScript,expressjs,https://github.com/expressjs/express,2009-06-26T18:56:01Z,14.92,MIT License
